5.1.1.1.1,Hydroelectric Dam
5.1.1.1.2,Pumped Storage Facility
5.1.1.1.3,Run-of-river Generator
5.1.1.2.1,Wind 
5.1.1.2.2,Solar 
5.1.1.2.3,Geothermal
5.1.1.3.1,Coal-fired Generator
5.1.1.3.2,Natural Gas-fired Generator
5.1.1.3.3,Oil-Fired Generator
5.1.1.4.1,Light Water Reactor Power Plant
5.1.1.4.2,Other Reactor Power Plant
5.2.2.2.1,Crude Oil Land-based Terminal
5.2.2.2.2,Crude Oil Marine Terminal
5.2.3.1.1,Crude Oil Pipeline Segment
5.2.3.1.2,Crude Oil Pipeline Pumping Station
5.2.3.1.3,Crude Oil Pipeline Control Center
5.2.3.2.1,Crude Oil Tanker
5.2.3.2.2,Port Handling Crude Oil
5.2.5.1.1,Petroleum Product Land-based Bulk Terminal
5.2.5.1.2,Petroleum Product Marine Bulk Terminal
5.2.5.1.3,Petroleum Product Bulk Plant
5.2.5.3.1,Motor Vehicle Fueling Station
5.2.5.3.2,Heating Oil Dealer
5.2.5.3.3,Liquefied Petroleum Gas (LPG) Dealer
5.2.5.4.1,Non-Military End-User Petroleum Product Storage
5.2.5.4.2,Military End-User Petroleum Product Storage
5.2.6.1.1,Petroleum Product Pipeline Segment
5.2.6.1.2,Petroleum Product Pipeline Pumping Station
5.2.6.1.3,Petroleum Product Pipeline Control Center
5.2.6.2.1,Petroleum Product Tanker
5.2.6.2.2,Ports Handling Petroleum Product
5.2.6.3.1,Railroad Petroleum Tank Car
5.2.6.4.1,Tanker Truck
5.2.6.4.2,Tanker Truck Loading Rack
5.3.5.1.1,Natural Gas Transmission Pipeline Segment
5.3.5.1.2,Natural Gas Transmission Pipeline Compressor Station
5.3.5.1.3,Natural Gas Pipeline Interconnect
5.3.5.1.4,Natural Gas Pipeline Hub
5.3.5.1.5,Natural Gas Receipt/Delivery Metering Station
5.3.5.1.6,Natural Gas Transmission Pipeline Control Center
5.3.5.2.1,Liquefied Natural Gas (LNG) Tanker
5.3.5.2.2,Liquefied Natural Gas (LNG) Port
5.4.3.1.1,Coal Unit Train Route
5.4.3.1.2,Other Coal Train Route
5.4.3.1.3,Coal Rail Car
5.4.3.2.1,Coal Water Transport Route
5.4.3.2.2,Coal Port
5.4.3.2.3,Coal Barge